term,estimate,std.error,statistic,p.value,data,time_secs,estimator,n,n_clus,seed
x,-0.494883313346416,0.6778846356977916,-0.7300406105782289,0.4653653615580642,raw data,NA,GLM,100,5,7
x,-0.4948833141467767,0.6778974346442732,-0.7300268283305524,0.4653737858160156,aggregated data,NA,GLM,100,5,7
(Intercept),-0.953307594522762,0.3008568022144997,10.040294126102458,0.00153152747661333,raw data,0.00822997093200683,GEE,100,5,8
x,0.4452462110400542,0.25287655458224473,3.1001544678694604,0.07828486585816674,raw data,0.00822997093200683,GEE,100,5,8
(Intercept),-0.9564784205382356,0.2892561016091003,10.934156731104796,9.440744485711416e-4,aggregated data,0.00437498092651367,GEE,100,5,8
x,0.44161305016822894,0.252423922712608,3.0607141736581616,0.08020640949847324,aggregated data,0.00437498092651367,GEE,100,5,8
x,0.5252208371383589,0.4606529319774361,1.1401660570871726,0.25421712570404925,raw data,NA,GLM,100,5,8
x,0.5252208371384602,0.4606529761395832,1.1401659477812909,0.25421717123396487,aggregated data,NA,GLM,100,5,8
(Intercept),-1.3910820289750707,0.2141436002086847,42.198331604870106,8.247036387132312e-11,raw data,0.00928401947021484,GEE,100,5,9
x,0.6097426016964171,0.26301637269451583,5.374369365081412,0.02043472707313742,raw data,0.00928401947021484,GEE,100,5,9
(Intercept),-1.455393658452705,0.2340151121835148,38.67881394269922,4.996025815273697e-10,aggregated data,0.00574183464050293,GEE,100,5,9
x,0.6209811213667707,0.27219917221767365,5.204550108934686,0.02252784417796516,aggregated data,0.00574183464050293,GEE,100,5,9
x,0.6156387168632834,0.5087112280701432,1.2101929009878205,0.22620488149952064,raw data,NA,GLM,100,5,9
x,0.6156387169060143,0.5087132139521331,1.210188176798455,0.2262066938490038,aggregated data,NA,GLM,100,5,9
(Intercept),-1.951613074659584,0.36380284423261183,28.7776454589669,8.118276284552196e-8,raw data,0.009415864944458,GEE,100,5,10
x,0.7335655638483307,0.4700066318512467,2.435958581878324,0.11858138634507498,raw data,0.009415864944458,GEE,100,5,10
(Intercept),-1.9087402538122176,0.36163550173422304,27.85810352362122,1.305461586609269e-7,aggregated data,0.00750589370727539,GEE,100,5,10
x,0.6835859540612741,0.450469742017639,2.302793587386126,0.12914154608173734,aggregated data,0.00750589370727539,GEE,100,5,10
x,0.494111486651888,0.5871361365501052,0.841562043098196,0.4000331429834425,raw data,NA,GLM,100,5,10
x,0.49411148669632415,0.587138847842179,0.8415581570053763,0.40003531901141226,aggregated data,NA,GLM,100,5,10
(Intercept),-2.0944568752009203,0.8024530243094578,6.812454411339055,0.00905242544698514,raw data,0.01152300834655761,GEE,100,5,11
x,0.00832488079055971,0.2510676584512111,0.00109944751531336,0.9735486563552816,raw data,0.01152300834655761,GEE,100,5,11
(Intercept),-1.8823923316371791,0.6419396647252432,8.598681600055233,0.00336406448524462,aggregated data,0.00679802894592285,GEE,100,5,11
x,0.05832593510501126,0.21389726669436973,0.07435547472583828,0.7850976701927737,aggregated data,0.00679802894592285,GEE,100,5,11
x,-2.561711781813478e-16,0.7696293425035785,-3.328500669530498e-16,0.9999999999999998,raw data,NA,GLM,100,5,11
x,-2.3497656140589563e-16,0.7696293486461031,-3.05311331771918e-16,0.9999999999999998,aggregated data,NA,GLM,100,5,11
(Intercept),-1.9094092310533248,0.5908025194329682,10.44511818558644,0.00122974038082057,raw data,0.0084991455078125,GEE,100,5,12
x,0.5704634062851391,0.3318367326641303,2.955334641418873,0.08559458522973606,raw data,0.0084991455078125,GEE,100,5,12
(Intercept),-1.1277619783727657,0.5038750150120276,5.009440804309198,0.02520944907064748,aggregated data,0.00708699226379394,GEE,100,5,12
x,0.7769015108508082,0.22196568427447727,12.250681696977166,4.6508821649782206e-4,aggregated data,0.00708699226379394,GEE,100,5,12
x,0.6836040359846903,0.6664211908334966,1.025783761662355,0.30499352186184253,raw data,NA,GLM,100,5,12
x,0.6836040359846919,0.6664212031698774,1.0257837426736771,0.3049935308143656,aggregated data,NA,GLM,100,5,12
(Intercept),-0.7478538318681236,0.4150575640635975,3.24651026711358,0.07157569733530633,raw data,0.00935602188110351,GEE,100,5,13
x,0.2764885951801233,0.22005257847793125,1.57870694745153,0.20894704561933375,raw data,0.00935602188110351,GEE,100,5,13
(Intercept),-0.6716375369491223,0.279883838831623,5.758565044092272,0.01640846713963395,aggregated data,0.01079607009887695,GEE,100,5,13
x,0.2370009547112064,0.1899454285545697,1.556834687285098,0.2121292853972362,aggregated data,0.01079607009887695,GEE,100,5,13
x,0.3862554371024821,0.47989045529398383,0.8048825160855922,0.42088747861171,raw data,NA,GLM,100,5,13
x,0.3862554374060552,0.479895594602614,0.8048738970523386,0.42089245282442833,aggregated data,NA,GLM,100,5,13
(Intercept),-0.376484957434949,0.3653444205684992,1.0619163276559451,0.3027785216881278,raw data,0.00935792922973632,GEE,100,5,14
x,0.4308776849860779,0.3639544481766199,1.401567254120854,0.23646133742134456,raw data,0.00935792922973632,GEE,100,5,14
(Intercept),-0.3901484030409974,0.3630961811684355,1.1545594614922248,0.28259672467234476,aggregated data,0.0055248737335205,GEE,100,5,14
x,0.49113465114489135,0.3672587395870544,1.7883679305007962,0.181125140851778,aggregated data,0.0055248737335205,GEE,100,5,14
x,0.5965915359525942,0.5039108355429935,1.1839228170391132,0.23644361710690912,raw data,NA,GLM,100,5,14
x,0.596591537009865,0.503918273540571,1.1839053440514553,0.2364505344966839,aggregated data,NA,GLM,100,5,14
(Intercept),-1.0297742641306968,0.37014547931724073,7.73996805958034,0.00540117562623976,raw data,0.00980210304260253,GEE,100,5,15
x,0.8227706058546013,0.4651675299497416,3.128518672294297,0.07693361678549848,raw data,0.00980210304260253,GEE,100,5,15
(Intercept),-0.9486347937641416,0.3312260779790034,8.20255317930544,0.00418314828420152,aggregated data,0.00572013854980468,GEE,100,5,15
x,0.7582526898431083,0.4333864101508232,3.061098760302333,0.080187428815227,aggregated data,0.00572013854980468,GEE,100,5,15
x,1.0480389467652365,0.4978303934280274,2.1052128608470633,0.035272783254863,raw data,NA,GLM,100,5,15
x,1.0480389440696507,0.49782137368529744,2.105250998588459,0.03526946508863872,aggregated data,NA,GLM,100,5,15
(Intercept),-0.3591510117558424,0.4415350938010016,0.6616430169029561,0.4159804951303676,raw data,0.01395988464355468,GEE,100,5,16
x,-0.8569972512844546,0.32372683376343503,7.008118855227205,0.00811408927844581,raw data,0.01395988464355468,GEE,100,5,16
(Intercept),-0.2933859369898737,0.3882820812076064,0.570931346103193,0.4498890614483676,aggregated data,0.00713706016540527,GEE,100,5,16
x,-0.956353665729476,0.3088111560214722,9.59071733797245,0.00195563528097064,aggregated data,0.00713706016540527,GEE,100,5,16
x,-0.976963805743652,0.5110809710106214,-1.9115636487341423,0.05593218563580784,raw data,NA,GLM,100,5,16
x,-0.9769638059579534,0.5110832401752184,-1.9115551619791205,0.05593327509964508,aggregated data,NA,GLM,100,5,16
(Intercept),-1.8701195409443592,0.5350652720633345,12.215892650543273,4.738413374129058e-4,raw data,0.00897002220153808,GEE,100,5,17
x,0.8026211680318528,0.4096650656372963,3.8385160173424304,0.05008783423058849,raw data,0.00897002220153808,GEE,100,5,17
(Intercept),-1.9198214979758357,0.5473150179779002,12.30401837284266,4.519841457832907e-4,aggregated data,0.0056610107421875,GEE,100,5,17
x,0.8142027036953868,0.42444997156673914,3.679697034058263,0.05507885749069574,aggregated data,0.0056610107421875,GEE,100,5,17
x,0.7978672045112251,0.5575869061823168,1.4309288752385851,0.15245060044454417,raw data,NA,GLM,100,5,17
x,0.7978672045206782,0.5575874926305091,1.4309273702618592,0.15245103181347577,aggregated data,NA,GLM,100,5,17
(Intercept),-1.092254087522601,0.40042014069858384,7.440729722367125,0.00637640309936182,raw data,0.00870299339294433,GEE,100,5,18
x,-0.01423488458450205,0.4584331758139949,9.641749021559434e-4,0.9752287348565752,raw data,0.00870299339294433,GEE,100,5,18
(Intercept),-1.1931990480276369,0.3845042695629758,9.62993738257054,0.00191431135068187,aggregated data,0.00842118263244628,GEE,100,5,18
x,-0.04209070741564005,0.4583955981498084,0.00843124234687387,0.9268396259664148,aggregated data,0.00842118263244628,GEE,100,5,18
x,0.01378657577721828,0.5250767289224909,0.02625630696966841,0.9790529048719308,raw data,NA,GLM,100,5,18
x,0.01378657577787884,0.5250784772822558,0.02625621954500312,0.9790529746026816,aggregated data,NA,GLM,100,5,18
(Intercept),-1.3893182164176248,0.58203344780397,5.697804897403441,0.01698614385169672,raw data,0.01166200637817382,GEE,100,5,19
x,0.13634523308820712,0.5859531233726389,0.05414447789846707,0.8160023989317968,raw data,0.01166200637817382,GEE,100,5,19
(Intercept),-1.3400765611462984,0.5547651180925356,5.835000934812524,0.01571040135465518,aggregated data,0.00497698783874511,GEE,100,5,19
x,0.07372456211198986,0.5690727194688763,0.01678374490794931,0.8969208076269886,aggregated data,0.00497698783874511,GEE,100,5,19
x,0.21879242204395988,0.5401694143987027,0.40504407730584263,0.6854451117928606,raw data,NA,GLM,100,5,19
x,0.21879242204396077,0.540169422586731,0.40504407116608104,0.6854451163058701,aggregated data,NA,GLM,100,5,19
(Intercept),-1.4486538279074843,0.41536186548470994,12.163988308502107,4.8721084629754774e-4,raw data,0.00909280776977539,GEE,100,5,20
x,0.925258334547547,0.3481456593967138,7.063241279203544,0.00786815146753794,raw data,0.00909280776977539,GEE,100,5,20
(Intercept),-1.3779000638737575,0.3513044785552469,15.383957371040731,8.772996951356138e-5,aggregated data,0.00674891471862793,GEE,100,5,20
x,0.8812115094941003,0.3219328388530365,7.4925519546645996,0.0061954695296339,aggregated data,0.00674891471862793,GEE,100,5,20
x,1.1131686685335918,0.5139197546114441,2.166035959009238,0.03030843921895156,raw data,NA,GLM,100,5,20
x,1.1131686685869453,0.5139206920006628,2.1660320082724156,0.03030874109437168,aggregated data,NA,GLM,100,5,20
(Intercept),-1.132154379490578,0.3883522202772283,8.498841245128222,0.00355372726946656,raw data,0.15386199951171875,GEE,500,5,1
x,0.4601930730850216,0.24500491394926055,3.528016152419614,0.06033994503975659,raw data,0.15386199951171875,GEE,500,5,1
(Intercept),-1.1310576553798568,0.404825608116642,7.806089623618731,0.00520704586207421,aggregated data,0.00704503059387207,GEE,500,5,1
x,0.44680042479588766,0.2724488320341543,2.6894114763526726,0.10101711840680729,aggregated data,0.00704503059387207,GEE,500,5,1
x,0.538195876192994,0.21905193496140676,2.456932764770213,0.01401289099889937,raw data,NA,GLM,500,5,1
x,0.5381958762092341,0.21905232053676368,2.4569284401573297,0.01401305968381385,aggregated data,NA,GLM,500,5,1
(Intercept),-1.283909738527418,0.4816577598076108,7.1054545064498855,0.00768497364099329,raw data,0.13590598106384277,GEE,500,5,2
